Cat.,Zaneen Model #,Series,Description, CAD MSRP  ,USD MSRP 
D,D4-4000WHI,EMISFERO,Table/Floor Lamp -1x60W -G9 -120V - White,658.00,530.00
D,D4-4001WHI,EMISFERO,Table/Floor Lamp -1x100W -E26 -120V - White,884.00,710.00
D,D4-4002WHI,EMISFERO,Table/Floor Lamp -1x150W -E26 -120V - White,1076.00,862.00
D,D4-4003WHI,EMISFERO,Table/Floor Lamp -1x200W -E26 -120V - White,1858.00,1482.00
D,D4-1021WHI,SALSOLA,Suspension -48cm -1x150W -E26 -120V - White,2640.00,2112.00
D,D4-1021OBN,SALSOLA,Suspension -48cm -1x150W -E26 -120V - Old Brown,2640.00,2112.00
D,D4-1022WHI,SALSOLA,Suspension -65cm -1x150W -E26 -120V - White,3870.00,3090.00
D,D4-1022OBN,SALSOLA,Suspension -65cm -1x150W -E26 -120V - Old Brown,3870.00,3090.00
D,D4-1023WHI,SALSOLA,Suspension -85cm -1x150W -E26 -120V - White,6182.00,4912.00
D,D4-1023OBN,SALSOLA,Suspension -85cm -1x150W -E26 -120V - Old Brown,6182.00,4912.00
D,D4-2013WHI,SALSOLA,Surface -48cm -1x150W -E26 -120V - White,2640.00,2112.00
D,D4-2013OBN,SALSOLA,Surface -48cm -1x150W -E26 -120V - Old Brown,2640.00,2112.00
D,D4-2014WHI,SALSOLA,Surface -65cm -1x150W -E26 -120V - White,3870.00,3090.00
D,D4-2014OBN,SALSOLA,Surface -65cm -1x150W -E26 -120V - Old Brown,3870.00,3090.00
D,D4-2015WHI,SALSOLA,Surface -85cm -1x150W -E26 -120V - White,6182.00,4912.00
D,D4-2015OBN,SALSOLA,Surface -85cm -1x150W -E26 -120V - Old Brown,6182.00,4912.00
D,D4-1024WHI,KONE,Suspension - 10W LED -120V - White,708.00,570.00
D,D4-1024TIM-WHI,KONE,Suspension - 10W LED -120V - Titanium - White,854.00,690.00
D,D4-1024CHO-WHI,KONE,Suspension - 10W LED -120V - Chocolate - White,854.00,690.00
